				NO			,				FN			,				LN			,				DIVISION			,				OVERALL			,				DIVPL			,				SEXPL			,				10K			,				HALF MARATHON			,				20 MILE			,				TIME			,				PACE			
8939,Nathan,Waech,M45-49,92,10/58,84/678,44:59:00,1:35:00,2:26:35,3:15:59,7:29
8421,Derek,Johnson,M35-39,93,13/107,85/678,42:03:00,1:29:18,2:18:35,3:15:59,7:29
8294,Eduardo,Garcia,M01-19,94,4/21,86/678,41:46:00,1:27:56,2:22:57,3:16:22,7:30
8585,Kelli,McKenna,F18-24,95,3/88,9/430,48:58:00,-,2:31:11,3:16:42,7:31
9030,Ronald,Hedman,M25-29,96,19/109,87/678,41:02:00,1:27:30,2:19:16,3:16:50,7:31
9163,Jennifer,Ward,F35-39,97,2/69,10/430,45:49:00,1:36:26,2:28:50,3:17:18,7:32
9138,Jeff,Picken,M55-59,98,1/33,88/678,47:00:00,1:38:49,2:30:32,3:17:22,7:32
9155,Frank,Vallejos,M18-24,99,19/100,89/678,42:56:00,1:31:22,2:23:54,3:17:57,7:34
8247,Chaise,Engelhart,M35-39,100,14/107,90/678,46:19:00,1:36:17,2:27:54,3:18:03,7:34
60,Andy,Pohl,M35-39,101,15/107,91/678,46:39:00,1:38:24,2:31:00,3:18:16,7:35
8399,Jessica,Hruska,F35-39,102,3/69,11/430,44:24:00,1:35:38,2:28:01,3:18:17,7:35
106,Jessica,Wallen,F35-39,103,4/69,12/430,47:21:00,1:39:59,2:31:52,3:18:48,7:36
8160,John,Cirves,M35-39,104,16/107,92/678,43:30:00,1:33:22,2:26:19,3:18:48,7:36
8300,Erik,Gessert,M35-39,105,17/107,93/678,44:44:00,1:34:25,2:26:41,3:19:03,7:36
8960,Thomas,Wehmann,M01-19,106,5/21,94/678,49:10:00,1:42:41,2:34:12,3:19:12,7:37
9107,Daniel,Goeckermann,M35-39,107,18/107,95/678,-,1:40:16,2:33:00,3:19:33,7:37
9006,Bryan,Yunis,M30-34,108,13/98,96/678,45:23:00,1:37:01,2:29:52,3:19:34,7:37
8540,Wally,Longo,M30-34,109,14/98,97/678,43:41:00,1:34:00,2:25:54,3:19:38,7:38
8948,Marissa,Ward,F18-24,110,4/88,13/430,46:59:00,1:40:04,2:32:53,3:20:08,7:39
8220,Patrick,Dragert,M40-44,111,7/76,98/678,47:18:00,1:40:08,2:32:46,3:20:22,7:39
3,Adam,Alexander,M30-34,112,15/98,99/678,46:29:00,1:35:15,2:27:11,3:20:23,7:39
8682,Eric,Otteson,M40-44,113,8/76,100/678,47:20:00,1:40:10,2:32:38,3:20:24,7:39
8396,Katie,Horner,F25-29,114,4/79,14/430,48:01:00,1:41:51,2:34:15,3:20:39,7:40
8402,Matt,Hughes,M18-24,115,20/100,101/678,41:43:00,1:29:44,2:23:12,3:20:42,7:40
8756,Brian,Rodenberg,M30-34,116,16/98,102/678,44:01:00,1:34:23,2:28:02,3:20:43,7:40
8452,Joe,Ketarkus,M40-44,117,9/76,103/678,47:26:00,1:40:16,2:33:01,3:20:44,7:40
8039,Alex,Atterbury,M35-39,118,19/107,104/678,47:27:00,1:40:16,2:33:01,3:20:45,7:40
8819,Ellen,Sellers,F18-24,119,5/88,15/430,45:13:00,1:36:39,2:30:14,3:20:50,7:40
9066,Taylor,Zimprich,F18-24,120,6/88,16/430,47:29:00,1:40:08,2:32:46,3:20:52,7:40
103,Dylan,Marty,M25-29,121,20/109,105/678,47:28:00,1:40:09,2:32:46,3:20:53,7:41
8792,Aaron,Scheets,M18-24,122,21/100,106/678,48:43:00,1:42:04,2:32:22,3:21:13,7:41
8237,Michael,Eckert,M55-59,123,2/33,107/678,45:31:00,1:37:22,2:31:23,3:21:24,7:42
8376,Todd,Herpy,M25-29,124,21/109,108/678,45:41:00,1:34:28,2:27:22,3:21:25,7:42
9197,Peter,Cox,M55-59,125,3/33,109/678,47:05:00,1:38:26,2:30:09,3:21:32,7:42
9069,Mark,Agren,M40-44,126,10/76,110/678,43:20:00,1:31:33,2:23:22,3:21:43,7:42
8379,Spencer,Heywood,M18-24,127,22/100,111/678,50:15:00,1:45:03,2:38:17,3:21:56,7:43
8791,Matthew,Scarborough,M30-34,128,17/98,112/678,48:39:00,1:39:40,2:31:53,3:22:24,7:44
9117,Jason,Jensen,M35-39,129,20/107,113/678,47:09:00,1:39:34,-,3:22:34,7:44
9183,Jamie,Shannon,F18-24,130,7/88,17/430,43:54:00,1:36:19,2:31:13,3:22:38,7:45
8783,Cindy,Saiter,F45-49,131,1/35,18/430,46:59:00,-,2:32:41,3:22:51,7:45
9122,Matthew,Koktan,M30-34,132,18/98,114/678,42:34:00,1:32:29,2:26:01,3:22:57,7:45
9130,Katie,MacE,F35-39,133,5/69,19/430,47:26:00,1:40:21,2:33:22,3:23:06,7:46
8465,Mark,Klaverkamp,M55-59,134,4/33,115/678,47:17:00,-,2:33:15,3:23:21,7:46
9080,Preston,Bernsteen,M18-24,135,23/100,116/678,47:59:00,1:39:43,2:31:36,3:23:37,7:47
8349,Thomas,Hameister,M18-24,136,24/100,117/678,49:19:00,1:42:48,2:36:14,3:23:40,7:47
8180,Nathan,Cummins,M35-39,137,21/107,118/678,46:15:00,1:37:17,2:29:52,3:23:54,7:47
8731,Brian,Quick,M18-24,138,25/100,119/678,48:32:00,1:42:23,2:36:49,3:24:01,7:48
8010,Jason,Kirch,M35-39,139,22/107,120/678,43:06:00,-,2:27:06,3:24:03,7:48
8110,Alex,Braun,M18-24,140,26/100,121/678,49:06:00,1:42:20,2:36:14,3:24:26,7:49
8269,Eric,Ferren,M40-44,141,11/76,122/678,47:57:00,1:39:55,2:34:25,3:24:37,7:49
8781,Diego,Saenz,M30-34,142,19/98,123/678,45:37:00,1:37:27,2:30:43,3:24:37,7:49
9004,Stephen,Young,M40-44,143,12/76,124/678,45:53:00,1:37:17,2:32:53,3:24:49,7:50
8149,Ethan,Cayko,M25-29,144,22/109,125/678,47:19:00,1:40:09,2:33:50,3:24:56,7:50
8532,Thomas,Lindsay,M40-44,145,13/76,126/678,45:59:00,1:38:56,2:33:37,3:24:58,7:50
8760,Marty,Rohan,M25-29,146,23/109,127/678,48:34:00,1:43:56,-,3:25:02,7:50
9021,Michael,Bilos,M40-44,147,14/76,128/678,47:26:00,-,2:34:03,3:25:09,7:50
8812,Peter,Schwanke,M45-49,148,11/58,129/678,47:34:00,1:41:05,2:35:15,3:25:12,7:50
9108,Bill,Grau,M25-29,149,24/109,130/678,46:57:00,1:39:35,2:32:20,3:25:19,7:51
8665,Juan,Ochoa Saldivar,M45-49,150,12/58,131/678,46:23:00,1:37:59,2:33:13,3:25:27,7:51
8398,Matt,Howard,M35-39,151,23/107,132/678,47:53:00,1:42:33,2:35:25,3:25:30,7:51
9025,Reece,Detienne,M01-19,152,6/21,133/678,49:19:00,1:44:13,2:37:44,3:25:31,7:51
8013,James,Pendleton,M25-29,153,25/109,134/678,45:49:00,1:35:35,2:27:04,3:25:32,7:51
9137,Mike,Passint,M18-24,154,27/100,135/678,49:31:00,1:44:42,2:37:28,3:25:32,7:51
8941,Benjamin,Walker,M18-24,155,28/100,136/678,-,1:42:58,2:36:00,3:25:43,7:52
8073,Megan,Bell,F30-34,156,2/54,20/430,49:23:00,1:43:38,2:36:02,3:26:07,7:52
8724,Charles,Pratt,M25-29,157,26/109,137/678,50:14:00,1:44:41,2:39:03,3:26:17,7:53
8169,David,Corbett,M30-34,158,20/98,138/678,49:55:00,1:44:38,2:39:12,3:26:31,7:53
8002,Thom,Bateman,M45-49,159,13/58,139/678,47:17:00,-,2:34:27,3:26:59,7:54
8018,Steven,Abrahamson,M55-59,160,5/33,140/678,47:51:00,1:40:43,2:35:05,3:27:02,7:55
8403,Alison,Huppert,F40-44,161,2/45,21/430,44:28:00,1:37:36,2:34:49,3:27:40,7:56
8667,Brandon,O'Donnell,M25-29,162,27/109,141/678,47:34:00,1:39:02,2:33:58,3:27:45,7:56
8952,Alexandra,Warzecha,F18-24,163,8/88,22/430,49:26:00,1:44:53,2:39:40,3:27:47,7:56
8935,Eric,Volmar,M45-49,164,14/58,142/678,46:49:00,1:37:56,2:33:41,3:28:10,7:57
8823,Daniel,Shaffer,M18-24,165,29/100,143/678,43:29:00,-,2:31:27,3:28:22,7:58
8565,Kelly,Maroney,F18-24,166,9/88,23/430,49:27:00,1:44:55,2:38:17,3:28:26,7:58
9045,Kenneth,Rosen,M50-54,167,5/46,144/678,50:48:00,1:45:35,2:39:12,3:28:30,7:58
8314,Todd,Gouin,M45-49,168,15/58,145/678,48:09:00,1:43:58,2:37:32,3:28:34,7:58
8758,Martha,Rogers,F30-34,169,3/54,24/430,49:33:00,-,2:40:00,3:28:35,7:58
9098,Peter,Ditter,M18-24,170,30/100,146/678,41:07:00,-,2:23:37,3:29:08,7:59
9044,Donald,Roback,M50-54,171,6/46,147/678,48:35:00,1:42:59,2:37:36,3:29:10,7:59
9210,David,Porto,M30-34,172,21/98,148/678,43:06:00,1:34:23,2:32:01,3:29:18,8:00
9209,Michael,Porto,M30-34,173,22/98,149/678,43:05:00,1:34:23,2:32:00,3:29:19,8:00
9019,Michelle,Andres,F40-44,174,3/45,25/430,-,1:40:15,2:34:28,3:29:22,8:00
9061,Catherine,Winkelman,F25-29,175,5/79,26/430,48:47:00,1:43:19,-,3:29:59,8:01
8799,Maria,Schmid,F18-24,176,10/88,27/430,49:26:00,1:44:50,2:40:12,3:30:10,8:02
9131,Ray,Marshall,M55-59,177,6/33,150/678,48:00:00,1:42:05,2:37:30,3:30:15,8:02
8392,Aygul,Hoffman,F30-34,178,4/54,28/430,49:08:00,1:44:24,2:39:48,3:30:34,8:03
8491,Georgine,Kudrna,F55-59,179,1/14,29/430,47:23:00,1:40:21,2:35:31,3:30:37,8:03
8365,Clifford Storm,Heidinger,M18-24,180,31/100,151/678,49:25:00,1:44:50,2:40:21,3:30:39,8:03
8265,Jacob,Faultersack,M18-24,181,32/100,152/678,49:23:00,1:44:45,2:40:17,3:30:48,8:03
8042,Greg,Avey,M40-44,182,15/76,153/678,48:48:00,1:43:35,2:38:59,3:30:48,8:03
8633,Taylor,Murphy,F18-24,183,11/88,30/430,49:24:00,1:44:44,2:40:21,3:30:55,8:04
8474,Chad,Koch,M35-39,184,24/107,154/678,49:28:00,-,2:40:50,3:30:57,8:04
8880,Dan,Streit,M35-39,185,25/107,155/678,44:38:00,1:33:12,2:27:04,3:31:01,8:04
9028,Heather,Glynn,F35-39,186,6/69,31/430,49:24:00,1:44:24,2:39:20,3:31:03,8:04
9001,Jennifer,Yee,F30-34,187,5/54,32/430,47:19:00,1:40:08,2:34:26,3:31:21,8:04
8796,Richard,Schick,M35-39,188,26/107,156/678,49:07:00,1:46:05,2:42:18,3:31:33,8:05
9096,Maureen,Condon,F25-29,189,6/79,33/430,49:22:00,1:44:48,2:40:21,3:31:33,8:05
9094,Brian,Condon,M30-34,190,23/98,157/678,49:23:00,1:44:48,-,3:31:33,8:05
8602,Adam,Mika,M25-29,191,28/109,158/678,48:06:00,1:41:58,2:38:02,3:31:35,8:05
8988,Michael,Winz,M25-29,192,29/109,159/678,49:17:00,1:44:08,-,3:31:47,8:05
9135,Amy,Oberg Loveland,F45-49,193,2/35,34/430,47:19:00,1:41:16,2:37:27,3:31:48,8:06
9022,Benjamin,Boldt,M01-19,194,7/21,160/678,49:19:00,1:44:14,2:37:44,3:31:48,8:06
53,Derek,Murphey,M25-29,195,30/109,161/678,48:49:00,1:42:00,2:37:34,3:32:01,8:06
8611,Robert,Mirabile,M40-44,196,16/76,162/678,49:56:00,1:44:39,2:40:25,3:32:09,8:06
8281,John,Franks,M35-39,197,27/107,163/678,48:38:00,1:42:24,2:37:32,3:32:19,8:07
9082,Nikki,Bessette,F35-39,198,7/69,35/430,49:08:00,1:44:17,2:39:37,3:33:03,8:08
9081,Dan,Bessette,M35-39,199,28/107,164/678,43:16:00,1:32:32,-,3:33:06,8:08
8576,Adam,Maus,M30-34,200,24/98,165/678,49:25:00,1:44:53,2:40:37,3:33:08,8:09
8559,Michael,Majeski,M30-34,201,25/98,166/678,47:44:00,1:41:27,2:37:00,3:33:44,8:10
8824,Bj,Shannon,F40-44,202,4/45,36/430,50:28:00,1:46:56,2:42:55,3:33:50,8:10
8562,Teresa,Mangin,F40-44,203,5/45,37/430,48:53:00,1:44:49,2:40:23,3:33:54,8:10
8337,Brett,Guiley,M40-44,204,17/76,167/678,49:24:00,1:44:47,2:40:22,3:34:00,8:11
8282,Andrea,French,F18-24,205,12/88,38/430,49:26:00,1:44:51,-,3:34:22,8:11
8170,Amanda,Cortese,F18-24,206,13/88,39/430,50:53:00,1:46:02,2:41:28,3:34:23,8:11
8942,Kris,Walker,M55-59,207,7/33,168/678,49:53:00,-,2:41:29,3:34:28,8:12
8188,Matthew,Darga,M40-44,208,18/76,169/678,49:29:00,1:44:54,2:41:31,3:34:28,8:12
8287,Peter,Gabrek,M25-29,209,31/109,170/678,50:35:00,1:45:45,2:41:08,3:34:31,8:12
8309,Erin,Goelden,F25-29,210,7/79,40/430,52:23:00,1:49:33,2:44:13,3:34:43,8:12
8924,Andrew,Van Wychen,M25-29,211,32/109,171/678,49:24:00,1:44:49,2:40:17,3:34:58,8:13
8022,Cole,Agar,M30-34,212,26/98,172/678,50:09:00,1:44:40,2:39:27,3:35:03,8:13
8234,Carrie,Eaton,F35-39,213,8/69,41/430,-,1:46:48,2:43:30,3:35:04,8:13
8249,Matt,Englander,M35-39,214,29/107,173/678,52:49:00,1:49:52,2:45:24,3:35:25,8:14
8024,Tom,Alesia,M50-54,215,7/46,174/678,50:41:00,1:48:19,2:44:58,3:35:34,8:14
8638,Timothy,Neeld,M40-44,216,19/76,175/678,52:35:00,1:49:42,2:46:45,3:35:54,8:15
8333,Emily,Gruenewald,F35-39,217,9/69,42/430,50:34:00,1:48:27,2:45:01,3:35:59,8:15
9051,Randall,Shaw,M35-39,218,30/107,176/678,45:57:00,1:36:26,2:31:37,3:35:59,8:15
8179,Mike,Cummings,M45-49,219,16/58,177/678,49:12:00,1:45:22,2:42:36,3:36:00,8:15
8428,Sarah,Jones,F25-29,220,8/79,43/430,47:26:00,1:42:53,2:40:38,3:36:14,8:16
8732,Kyran,Quinlan,M50-54,221,8/46,178/678,50:44:00,1:47:59,2:44:51,3:36:16,8:16
8210,Kevin,Dillon,M45-49,222,17/58,179/678,49:14:00,-,2:40:56,3:36:42,8:17
9024,John,Coyne,M25-29,223,33/109,180/678,49:12:00,1:43:42,2:39:58,3:37:06,8:18
8985,Brian,Wilson,M30-34,224,27/98,181/678,51:12:00,1:48:44,2:44:42,3:37:06,8:18
9102,David,Fieldhack,M55-59,225,8/33,182/678,51:09:00,1:47:24,2:44:09,3:37:06,8:18
8092,Chad,Blumenschein,M25-29,226,34/109,183/678,49:15:00,1:44:36,2:40:16,3:37:10,8:18
9112,Robert,Hammerly,M35-39,227,31/107,184/678,48:10:00,-,2:40:29,3:37:13,8:18
8664,William,O'Brien,M18-24,228,33/100,185/678,48:57:00,1:41:22,2:35:58,3:37:17,8:18
8196,Jesse,Deangelis,F25-29,229,9/79,44/430,54:13:00,1:49:45,2:45:44,3:37:28,8:19
8702,Ryan,Petersen,M40-44,230,20/76,186/678,48:03:00,1:43:42,2:39:33,3:37:37,8:19
8895,Lori,Sykes,F30-34,231,6/54,45/430,51:23:00,-,2:44:49,3:37:39,8:19
9201,Bill,Derocher,M60-64,232,2/25,187/678,47:25:00,1:42:29,2:40:44,3:37:46,8:19
9040,Andrew,Nelson,M35-39,233,32/107,188/678,53:07:00,1:49:28,2:45:02,3:37:57,8:20
9055,Bradly,Sternig,M18-24,234,34/100,189/678,53:22:00,1:50:32,2:46:20,3:37:57,8:20
46,Antonio,Lopez,M35-39,235,33/107,190/678,46:30:00,1:37:42,2:32:48,3:38:11,8:20
8116,Emily,Brown,F18-24,236,14/88,46/430,49:03:00,1:44:36,2:40:22,3:38:17,8:20
8852,Hector,Solis,M35-39,237,34/107,191/678,-,1:35:15,-,3:38:26,8:21
8012,Dave,Mertz,M35-39,238,35/107,192/678,47:25:00,1:40:15,2:38:55,3:38:29,8:21
9042,Rachel,Patzer,F30-34,239,7/54,47/430,50:59:00,1:48:29,2:45:36,3:38:39,8:21
8459,Kevin,Kirk,M01-19,240,8/21,193/678,50:05:00,1:45:35,2:42:57,3:38:48,8:22
8479,Oliver,Korioth,M40-44,241,21/76,194/678,51:08:00,1:48:43,2:46:59,3:39:08,8:22
8977,Jason,Whitney,M35-39,242,36/107,195/678,49:23:00,-,2:40:36,3:39:09,8:22
8730,Andrew,Quam,M25-29,243,35/109,196/678,48:39:00,1:42:56,2:40:29,3:39:10,8:22
8887,Michael,Suer,M30-34,244,28/98,197/678,-,1:44:52,2:40:24,3:39:16,8:23
8612,Enrique,Mireles,M18-24,245,35/100,198/678,42:48:00,1:35:44,2:38:29,3:39:19,8:23
9190,Rachel,Overpeck,F18-24,246,15/88,48/430,51:05:00,-,2:45:33,3:39:26,8:23
8872,Joshua,Stewart,M45-49,247,18/58,199/678,47:45:00,1:40:46,2:35:40,3:39:31,8:23
9106,Babar,Ghias,M35-39,248,37/107,200/678,53:36:00,1:49:31,2:46:55,3:39:32,8:23
9119,Ingrid,Kallgren,F18-24,249,16/88,49/430,48:40:00,1:44:16,2:43:00,3:39:52,8:24
