				NO			,				FN			,				LN			,				DIVISION			,				OVERALL			,				DIVPL			,				SEXPL			,				10K			,				HALF MARATHON			,				20 MILE			,				TIME			,				PACE			
8146,Gabrielle,Caron-Schuler,F18-24,502,34/88,128/430,55:27:00,1:57:28,3:01:40,4:03:40,9:18
8670,David,O'Keeffe,M18-24,503,57/100,375/678,55:16:00,1:57:06,3:01:59,4:03:41,9:19
8861,Wendy,Staats,F40-44,504,13/45,129/430,54:43:00,1:55:09,2:58:00,4:03:45,9:19
9029,Keegan,Hasbrook,M18-24,505,58/100,376/678,55:20:00,1:57:33,3:01:41,4:03:58,9:19
9032,Chad,Hockers,M30-34,506,58/98,377/678,51:59:00,-,2:54:20,4:04:00,9:19
8504,April,Lamovec,F35-39,507,18/69,130/430,54:33:00,1:55:04,2:59:48,4:04:09,9:20
76,Damien,Stevens,M35-39,508,61/107,378/678,54:21:00,1:56:13,3:02:10,4:05:15,9:22
8800,Eric,Schmidt,M60-64,509,8/25,379/678,55:25:00,1:57:38,3:01:42,4:05:17,9:22
8352,Emmali,Hanson,F18-24,510,35/88,131/430,55:26:00,1:57:38,3:02:13,4:05:34,9:23
9134,Jon,Mueller,M55-59,511,16/33,380/678,59:37:00,-,3:04:10,4:05:39,9:23
8538,Chuck,Longley,M60-64,512,9/25,381/678,53:19:00,1:52:48,2:58:16,4:05:41,9:23
8197,Heather,Debby,F30-34,513,21/54,132/430,57:22:00,2:00:22,3:05:56,4:05:42,9:23
8338,Igor,Gurevich,M35-39,514,62/107,382/678,59:50:00,2:07:05,3:11:54,4:05:45,9:23
8509,John,Larson,M25-29,515,66/109,383/678,52:15:00,1:51:34,2:55:41,4:05:49,9:23
8764,Sara,Rondaeu,F30-34,516,22/54,133/430,50:34:00,-,2:59:18,4:05:57,9:24
9203,Benjamin,Rickun,M35-39,517,63/107,384/678,57:39:00,2:01:33,3:06:20,4:06:02,9:24
8217,MacKenzie,Douglas,F18-24,518,36/88,134/430,57:12:00,2:00:12,3:04:59,4:06:27,9:25
8478,Alexis,Kolak,F35-39,519,19/69,135/430,55:44:00,1:58:24,3:03:33,4:06:34,9:25
8127,Elizabeth,Burch,F30-34,520,23/54,136/430,54:54:00,-,2:58:22,4:06:35,9:25
8174,Angela,Crees,F30-34,521,24/54,137/430,58:15:00,2:02:45,3:07:44,4:06:54,9:26
8094,Nathaniel,Boehler,M18-24,522,59/100,385/678,54:13:00,1:54:29,2:56:08,4:06:55,9:26
8817,Lucy,Sears,F18-24,523,37/88,138/430,58:38:00,-,3:07:04,4:06:55,9:26
9056,Jim,Thierfelder,M45-49,524,32/58,386/678,56:22:00,2:02:36,3:07:53,4:07:00,9:26
9020,Larissa,Arellano,F40-44,525,14/45,139/430,56:22:00,2:02:36,3:07:52,4:07:00,9:26
9204,Paul,Stein,M55-59,526,17/33,387/678,-,1:57:07,3:01:58,4:07:04,9:26
8627,Wolfram,Muesse,M60-64,527,10/25,388/678,56:09:00,2:00:00,3:06:42,4:07:07,9:26
8260,Robert,Fanning,M40-44,528,44/76,389/678,49:42:00,1:44:40,2:40:41,4:07:18,9:27
8,Dan,Beck,M60-64,529,11/25,390/678,55:26:00,1:57:37,3:01:42,4:07:20,9:27
8207,Aaron,Deschenes,M40-44,530,45/76,391/678,57:29:00,1:59:23,3:03:20,4:07:27,9:27
8866,John,Stec,M18-24,531,60/100,392/678,55:35:00,1:57:36,3:02:30,4:07:37,9:28
8055,Kari,Bardouche,F25-29,532,28/79,140/430,55:35:00,1:57:32,3:01:53,4:07:37,9:28
8138,Kelly,Campbell,F40-44,533,15/45,141/430,56:50:00,2:00:12,3:05:08,4:07:47,9:28
8374,Traci,Hensel,F25-29,534,29/79,142/430,55:16:00,1:57:09,3:02:11,4:07:55,9:28
8754,Pamela,Ritchie,F35-39,535,20/69,143/430,54:09:00,1:54:59,3:03:08,4:08:24,9:29
8795,Ryan,Scherer,M18-24,536,61/100,393/678,-,1:49:10,3:00:38,4:08:33,9:30
8363,Anne,Hebel,F35-39,537,21/69,144/430,-,1:57:37,3:04:55,4:08:36,9:30
8741,Jennifer,Rees,F45-49,538,12/35,145/430,57:39:00,2:00:31,3:06:25,4:08:48,9:30
8483,Michael,Kowalske,M35-39,539,64/107,394/678,57:34:00,2:00:00,3:03:24,4:08:50,9:30
9060,Robert,Wilson,M55-59,540,18/33,395/678,52:44:00,1:54:26,2:58:33,4:08:55,9:31
8087,George,Black,M18-24,541,62/100,396/678,55:27:00,1:57:40,3:00:01,4:08:58,9:31
8896,Hillary,Tamar,F25-29,542,30/79,146/430,59:24:00,2:04:57,3:11:03,4:09:33,9:32
8863,Jacob,Stangl,M25-29,543,67/109,397/678,54:01:00,-,2:58:09,4:09:34,9:32
8768,Sheila,Ross,F45-49,544,13/35,147/430,55:31:00,1:59:15,3:06:46,4:09:39,9:32
8525,Dan,Lenington,M18-24,545,63/100,398/678,58:22:00,2:03:58,3:09:56,4:09:40,9:32
8470,Amy,Knight,F18-24,546,38/88,148/430,59:25:00,2:05:23,3:11:48,4:09:51,9:33
34,Trista,Gunderman,F25-29,547,31/79,149/430,55:28:00,1:57:26,3:04:16,4:09:53,9:33
85,Lukas,Wymer,M18-24,548,64/100,399/678,56:47:00,1:56:41,3:02:34,4:09:55,9:33
8622,Brittany,Moreno,F18-24,549,39/88,150/430,57:06:00,-,3:06:39,4:10:11,9:33
8475,Christopher,Kocur,M18-24,550,65/100,400/678,43:20:00,1:37:52,2:57:11,4:10:14,9:34
9191,Ryan,Derose,M30-34,551,59/98,401/678,49:24:00,1:45:02,2:46:33,4:10:15,9:34
102,Paula,MacDonald,F35-39,552,22/69,151/430,54:30:00,1:57:15,3:04:52,4:10:24,9:34
9143,Ginny,Routhe,F40-44,553,16/45,152/430,54:14:00,-,3:03:35,4:10:32,9:34
8347,Paige,Hall,F18-24,554,40/88,153/430,1:01:54,2:09:50,3:15:28,4:10:36,9:34
6,Cole,Barwick,M18-24,555,66/100,402/678,56:45:00,2:00:10,3:07:42,4:10:47,9:35
8152,Connie,Chamberlain,F40-44,556,17/45,154/430,59:00:00,2:03:12,3:08:09,4:10:56,9:35
8723,Travis,Porter,M45-49,557,33/58,403/678,58:57:00,-,3:09:54,4:11:29,9:36
8295,Emily,Garcia,F25-29,558,32/79,155/430,58:58:00,2:02:36,3:09:55,4:11:29,9:36
8718,Josh,Pike,M01-19,559,16/21,404/678,51:03:00,1:49:22,3:05:36,4:11:36,9:37
8386,Jack,Hinze,M25-29,560,68/109,405/678,58:03:00,2:01:19,3:08:09,4:11:46,9:37
8361,Rebecca,Hays,F50-54,561,4/26,156/430,1:00:24,2:04:12,3:09:45,4:11:46,9:37
9084,Carly,Blackmore,F25-29,562,33/79,157/430,57:47:00,2:01:27,3:09:44,4:12:01,9:38
8082,Katey,Bignall,F30-34,563,25/54,158/430,-,2:07:19,3:12:04,4:12:03,9:38
8075,Brooke,Benson,F18-24,564,41/88,159/430,52:55:00,1:52:35,3:03:34,4:12:08,9:38
8933,Joe,Voell,M30-34,565,60/98,406/678,49:32:00,1:46:48,2:59:16,4:12:17,9:38
8704,Andrew,Peterson,M35-39,566,65/107,407/678,56:26:00,-,-,4:12:19,9:38
8706,Nora,Peterson,F30-34,567,26/54,160/430,56:26:00,2:01:01,3:09:53,4:12:20,9:38
8973,Sarah,Wethal,F35-39,568,23/69,161/430,58:23:00,2:03:18,3:09:03,4:12:30,9:39
9005,Beth,Yudelman,F18-24,569,42/88,162/430,1:01:59,2:08:00,3:12:56,4:12:47,9:39
9037,Mark,Miresse,M18-24,570,67/100,408/678,50:32:00,1:48:02,3:03:55,4:12:55,9:40
8235,Erin,Ebersole,F35-39,571,24/69,163/430,55:47:00,1:56:34,3:04:08,4:12:56,9:40
8236,Matt,Ebersole,M40-44,572,46/76,409/678,55:47:00,1:56:35,3:04:09,4:12:56,9:40
8950,Doug,Warren,M50-54,573,25/46,410/678,59:19:00,-,-,4:13:04,9:40
9144,Brandon,Rutter,M35-39,574,66/107,411/678,58:39:00,2:06:38,3:09:12,4:13:14,9:40
8040,Abigail,Augarten,F25-29,575,34/79,164/430,52:53:00,1:55:25,3:07:07,4:13:15,9:40
8488,Andy,Krodel,M45-49,576,34/58,412/678,54:28:00,1:55:49,3:01:57,4:13:23,9:41
8548,Yer,Ly,M35-39,577,67/107,413/678,1:00:54,2:05:48,3:11:44,4:13:33,9:41
9169,Joe,Winch,M60-64,578,12/25,414/678,1:00:15,2:06:56,3:14:00,4:13:49,9:42
9114,Nate,Hanson,M25-29,579,69/109,415/678,54:58:00,1:57:09,-,4:13:49,9:42
8600,Ann,Miehe,F50-54,580,5/26,165/430,56:16:00,1:59:48,3:07:06,4:14:08,9:42
9164,Allison,Weber,F40-44,581,18/45,166/430,1:01:27,2:08:30,3:14:38,4:14:10,9:43
8284,Walter,Fritz,M25-29,582,70/109,416/678,55:08:00,1:57:03,3:05:25,4:14:14,9:43
8126,Emma,Bukowski,F18-24,583,43/88,167/430,57:23:00,2:03:28,3:10:29,4:14:29,9:43
8684,Orhan,Ozkan,M50-54,584,26/46,417/678,1:00:31,2:06:55,3:13:45,4:14:58,9:44
8124,Amanda,Buechel,F25-29,585,35/79,168/430,53:13:00,1:51:38,3:00:04,4:15:07,9:45
9150,Steve,Speece,M40-44,586,47/76,418/678,48:02:00,1:45:12,2:58:31,4:15:10,9:45
9063,Raymond,Yap,M30-34,587,61/98,419/678,55:50:00,1:58:53,3:03:33,4:15:12,9:45
8301,Michelle,Gibson,F25-29,588,36/79,169/430,1:01:41,2:08:33,3:15:29,4:15:13,9:45
8377,Alexander,Herum,M30-34,589,62/98,420/678,1:01:41,2:08:34,3:15:29,4:15:13,9:45
8028,Daniel,Amusin,M01-19,590,17/21,421/678,55:50:00,-,3:03:34,4:15:18,9:45
9167,Peter,Wertanen,M65-69,591,2/4,422/678,57:03:00,2:01:40,3:12:01,4:15:31,9:46
8272,Anna,Fitzgerald,F25-29,592,37/79,170/430,1:01:43,2:07:01,3:10:27,4:15:37,9:46
105,Katie,Gehrand,F25-29,593,38/79,171/430,1:02:00,2:09:41,3:15:38,4:15:52,9:46
4,Brandon,Alexander,M30-34,594,63/98,423/678,55:28:00,1:56:51,-,4:16:09,9:47
8020,Paul,Adamczyk,M25-29,595,71/109,424/678,54:28:00,1:58:13,3:07:16,4:16:14,9:47
8837,Shubham,Singhal,M25-29,596,72/109,425/678,55:58:00,1:58:02,3:06:38,4:16:31,9:48
9064,Todd,Ziegler,M45-49,597,35/58,426/678,55:47:00,1:58:43,3:05:12,4:16:40,9:48
8194,Kristen,De Berg,F30-34,598,27/54,172/430,1:01:38,2:10:05,3:18:01,4:16:44,9:48
8263,Annelies,Farmer,F55-59,599,3/14,173/430,55:27:00,1:57:47,3:08:05,4:16:54,9:49
8964,Karlie,Wellnitz,F30-34,600,28/54,174/430,56:41:00,1:59:52,3:08:09,4:17:10,9:49
8666,Alex,O'Connell,M25-29,601,73/109,427/678,55:07:00,1:56:10,3:01:44,4:17:50,9:51
8330,Peter,Grimmer,M18-24,602,68/100,428/678,1:01:34,2:06:21,3:14:29,4:17:50,9:51
8636,Anna,Nagle,F35-39,603,25/69,175/430,1:00:48,2:06:31,3:13:44,4:17:52,9:51
8153,Jacqueline,Chambers,F25-29,604,39/79,176/430,56:04:00,2:00:58,3:11:28,4:17:57,9:51
9206,Isaac,Biehl,M18-24,605,69/100,429/678,53:53:00,1:55:21,3:08:06,4:18:11,9:52
8886,Laurel,Stutz,F18-24,606,44/88,177/430,55:28:00,1:57:55,3:05:36,4:18:18,9:52
8623,Christopher,Moses,M30-34,607,64/98,430/678,-,1:44:55,2:42:34,4:18:20,9:52
8351,John,Hannon,M40-44,608,48/76,431/678,55:30:00,1:57:42,3:06:27,4:18:24,9:52
8017,Tim,Abendroth,M18-24,609,70/100,432/678,56:27:00,1:57:47,3:05:40,4:18:30,9:52
9047,Helen,Schmidlkofer,F60-64,610,1/1,178/430,58:25:00,-,-,4:18:36,9:53
8339,Christina,Gutierrez,F25-29,611,40/79,179/430,-,2:10:00,3:18:42,4:18:40,9:53
8114,Peter,Briere,M40-44,612,49/76,433/678,-,1:56:17,3:06:22,4:18:47,9:53
8674,Abbi,Orcholski,F25-29,613,41/79,180/430,1:02:09,2:07:25,3:14:29,4:18:50,9:53
9007,Yunshu,Zhang,M01-19,614,18/21,434/678,55:36:00,-,-,4:18:53,9:53
8492,Robert,Kuhn,M55-59,615,19/33,435/678,59:52:00,2:07:04,3:16:03,4:19:04,9:54
8359,Amanda,Hauser,F30-34,616,29/54,181/430,58:55:00,2:03:42,3:11:11,4:19:07,9:54
8100,Ryan,Boley,M30-34,617,65/98,436/678,57:31:00,2:01:33,3:08:52,4:19:15,9:54
8173,Jon,Crain,M40-44,618,50/76,437/678,55:25:00,1:58:46,3:04:49,4:19:16,9:54
8801,Jason,Schmidt,M40-44,619,51/76,438/678,53:31:00,1:55:06,3:05:00,4:19:24,9:55
8433,David,Kaland,M35-39,620,68/107,439/678,52:35:00,1:52:02,3:06:23,4:19:35,9:55
8098,Jodi,Bohl,F30-34,621,30/54,182/430,1:01:50,-,3:18:26,4:19:37,9:55
8130,Jason,Burmeister,M40-44,622,52/76,440/678,48:35:00,1:47:01,3:03:02,4:19:58,9:56
104,Kayla,Schoettel,F25-29,623,42/79,183/430,1:02:00,2:09:44,3:16:58,4:20:00,9:56
8510,Payton,Larson,F25-29,624,43/79,184/430,55:37:00,1:59:06,3:11:31,4:20:02,9:56
8542,Victor,Lubasi,M45-49,625,36/58,441/678,54:11:00,1:55:41,3:05:18,4:20:05,9:56
8216,Lori,Dotson,F50-54,626,6/26,185/430,58:14:00,2:04:38,3:14:22,4:20:08,9:56
9208,Claire,Roth,F18-24,627,45/88,186/430,55:03:00,1:57:44,3:07:28,4:20:11,9:56
8406,Jillian,Incha,F01-19,628,3/15,187/430,1:02:12,2:10:06,3:18:44,4:20:12,9:56
8699,Marko,Pechnik,M18-24,629,71/100,442/678,-,1:57:47,3:04:52,4:20:14,9:56
8302,Kevin,Glamm,M25-29,630,74/109,443/678,1:02:03,2:09:26,3:18:30,4:20:15,9:56
8560,Elliott,Mallen,M30-34,631,66/98,444/678,1:01:01,-,-,4:20:15,9:56
9038,Thomas,Mlada,M40-44,632,53/76,445/678,1:04:03,2:13:50,3:21:08,4:20:17,9:57
8008,Thomas,Holliday,M18-24,633,72/100,446/678,49:07:00,1:49:36,3:06:17,4:20:24,9:57
8511,Thomas,Larson,M45-49,634,37/58,447/678,53:11:00,1:57:33,3:11:53,4:20:32,9:57
8469,Rachel,Klistaui,F45-49,635,14/35,188/430,1:00:37,2:08:18,3:16:15,4:20:33,9:57
8853,Meggan,Sommersberger,F30-34,636,31/54,189/430,1:02:08,-,3:18:47,4:20:35,9:57
8044,Daniel,Bach,M18-24,637,73/100,448/678,57:50:00,1:57:29,3:01:14,4:20:38,9:57
8869,Annika,Stensland,F01-19,638,4/15,190/430,1:02:03,2:10:01,3:18:43,4:20:38,9:57
8168,Dean,Copp,M55-59,639,20/33,449/678,54:51:00,1:56:08,2:57:47,4:20:39,9:57
8311,Kyle,Gonnerman,M30-34,640,67/98,450/678,51:33:00,1:48:26,2:55:40,4:20:44,9:58
8372,Judith,Hellerstein,F50-54,641,7/26,191/430,1:01:39,2:09:37,3:17:27,4:20:45,9:58
8213,Tom,Doebert,M35-39,642,69/107,451/678,53:20:00,1:57:10,3:09:25,4:20:46,9:58
8579,John,McCluskey,M35-39,643,70/107,452/678,1:02:01,2:09:59,3:18:41,4:20:48,9:58
8278,Anne,Francissen,F55-59,644,4/14,192/430,55:22:00,1:59:30,3:10:58,4:20:48,9:58
8457,Bennett,King,M18-24,645,74/100,453/678,51:11:00,1:48:48,3:00:20,4:20:53,9:58
8122,Amanda,Buchberger,F25-29,646,44/79,193/430,1:01:37,2:09:41,3:17:37,4:20:56,9:58
8721,Jonathan,Pleitner,M30-34,647,68/98,454/678,1:00:38,2:07:45,3:18:03,4:21:00,9:58
8911,Lisa,Tulk,F35-39,648,26/69,194/430,59:06:00,2:06:47,3:16:29,4:21:01,9:58
8787,Brenda,Sands,F45-49,649,15/35,195/430,1:01:57,2:10:00,3:18:42,4:21:13,9:59
8432,Wendi,Joseph,F45-49,650,16/35,196/430,1:02:04,2:10:02,3:18:43,4:21:13,9:59
8029,Jessica,Anderson,F35-39,651,27/69,197/430,-,-,-,4:21:14,9:59
9140,Maheswaraguru,Ramamurthi,M50-54,652,27/46,455/678,53:03:00,1:53:59,3:04:50,4:21:20,9:59
50,Erin,Mettert,F35-39,653,28/69,198/430,1:02:03,2:10:02,3:18:43,4:21:30,9:59
8141,Vincent,Cannistraro,M35-39,654,71/107,456/678,1:02:05,-,3:18:44,4:21:32,9:59
8033,Peterson,Apfelbach,M18-24,655,75/100,457/678,49:59:00,1:48:07,2:59:58,4:21:47,10:00
9002,Arun,Yethiraj,M50-54,656,28/46,458/678,54:11:00,1:56:46,3:05:27,4:21:48,10:00
8480,Trisha,Korioth,F40-44,657,19/45,199/430,1:01:27,-,3:18:45,4:21:56,10:00
8884,Hilary,Stubben,F40-44,658,20/45,200/430,1:02:13,2:10:06,3:17:51,4:21:57,10:00
9008,Erin,Ziech,F35-39,659,29/69,201/430,1:01:16,2:09:16,3:17:44,4:22:00,10:00
13,Timothy,Burns,M55-59,660,21/33,459/678,55:35:00,1:57:44,3:03:16,4:22:02,10:01
8981,Robert,Wiesmann,M60-64,661,13/25,460/678,55:47:00,2:00:30,3:11:56,4:22:04,10:01
8318,Miranda,Grabow,F30-34,662,32/54,202/430,1:01:32,2:09:43,3:19:23,4:22:08,10:01
9110,Heather,Hagen,F35-39,663,30/69,203/430,1:01:57,2:09:43,3:18:08,4:22:10,10:01
9202,James,Welch,M55-59,664,22/33,461/678,55:21:00,2:00:24,3:12:42,4:22:22,10:01
9170,Bethany,Wrede Peterson,F35-39,665,31/69,204/430,1:04:08,2:12:00,3:19:55,4:22:26,10:01
8482,Kelly,Kowal,F18-24,666,46/88,205/430,1:00:54,-,3:15:13,4:22:30,10:02
51,Mike,Mezera,M30-34,667,69/98,462/678,51:40:00,1:49:32,3:01:03,4:22:34,10:02
9211,Taylor,Fries,F25-29,668,45/79,206/430,52:12:00,1:51:18,2:58:31,4:22:38,10:02
8458,Kelsey,Kircher,F18-24,669,47/88,207/430,57:27:00,-,3:12:47,4:22:42,10:02
8353,Suellen,Hanson,F50-54,670,8/26,208/430,1:00:32,2:07:49,3:17:20,4:23:11,10:03
55,Michael,Norin,M40-44,671,54/76,463/678,1:00:36,2:08:35,3:18:22,4:23:23,10:04
8493,Steven,Kuntz,M35-39,672,72/107,464/678,1:01:36,2:07:45,-,4:23:31,10:04
8066,Jana,Baumberger,F55-59,673,5/14,209/430,1:01:53,2:10:00,3:19:31,4:23:54,10:05
8805,Chris,Schroeder,M45-49,674,38/58,465/678,1:01:41,2:08:30,-,4:24:13,10:06
9127,Charles,Leadholm,M65-69,675,3/4,466/678,58:43:00,2:02:50,3:07:50,4:24:15,10:06
8163,Emma,Connell,F18-24,676,48/88,210/430,1:01:51,2:08:25,3:16:03,4:24:34,10:06
8187,Kate,Dapolito,F18-24,677,49/88,211/430,56:35:00,2:03:03,3:14:41,4:24:36,10:06
8549,Shaina M,Lynch,F30-34,678,33/54,212/430,1:03:22,-,3:22:03,4:24:46,10:07
8915,Leah,Ulatowski,F30-34,679,34/54,213/430,57:22:00,-,-,4:24:53,10:07
9011,Greg,Zimmerman,M55-59,680,23/33,467/678,59:39:00,-,3:18:36,4:24:54,10:07
8505,Cun,Lan,M25-29,681,75/109,468/678,58:39:00,2:01:40,3:15:32,4:25:15,10:08
8592,Christopher,Mehrer,M25-29,682,76/109,469/678,1:04:27,2:13:05,3:22:24,4:25:21,10:08
8593,Chuck,Mehrer,M55-59,683,24/33,470/678,1:04:27,2:13:06,3:22:24,4:25:21,10:08
8326,Bradley,Green,F18-24,684,50/88,214/430,-,-,3:20:10,4:25:41,10:09
8463,Ally,Klann,F18-24,685,51/88,215/430,1:01:43,2:09:26,3:20:11,4:25:42,10:09
8931,Brian,Verfuerth,M40-44,686,55/76,471/678,1:01:07,-,3:17:50,4:25:47,10:09
8256,Ashley,Fahey,F30-34,687,35/54,216/430,1:01:07,2:08:29,-,4:25:48,10:09
8393,Tyson,Hohenecker,M01-19,688,19/21,472/678,49:10:00,1:42:42,2:45:11,4:25:48,10:09
8176,Livier,Crow,F40-44,689,21/45,217/430,55:52:00,2:07:56,3:17:27,4:25:59,10:10
8625,Adam,Mueller,M35-39,690,73/107,473/678,1:02:03,2:10:01,3:18:42,4:26:01,10:10
8675,Kate,Ordemann,F18-24,691,52/88,218/430,56:27:00,2:04:51,3:18:34,4:26:16,10:10
8776,Bill,Rushing,M35-39,692,74/107,474/678,1:00:54,2:09:11,3:18:24,4:26:19,10:10
8400,Kristan,Huenink,F35-39,693,32/69,219/430,1:00:23,2:05:17,3:16:03,4:26:22,10:10
9160,Brian,Vogel,M25-29,694,77/109,475/678,1:01:41,2:09:24,3:19:32,4:26:30,10:11
8021,Joel,Adcock,M40-44,695,56/76,476/678,51:43:00,1:50:24,3:03:28,4:26:32,10:11
8662,Shawn,Obrien,M45-49,696,39/58,477/678,54:38:00,2:03:35,3:17:07,4:27:00,10:12
5,Eric,Alexander,M25-29,697,78/109,478/678,1:00:03,2:04:00,3:16:16,4:27:03,10:12
8927,Megan,Vanrees,F35-39,698,33/69,220/430,1:01:05,2:10:29,3:22:08,4:27:08,10:12
8821,Abelardo,Serrano,M50-54,699,29/46,479/678,55:42:00,2:03:27,3:17:52,4:27:13,10:12
8104,Rose,Bowen,F45-49,700,17/35,221/430,58:37:00,2:07:38,3:20:03,4:27:21,10:13
8608,Paul,Miller,M50-54,701,30/46,480/678,59:40:00,2:05:25,3:16:44,4:27:23,10:13
8606,Morgan,Miller,F18-24,702,53/88,222/430,59:41:00,2:05:26,3:16:48,4:27:24,10:13
8905,Robert,Thompson,M25-29,703,79/109,481/678,59:20:00,2:06:34,3:18:10,4:27:25,10:13
8032,Allison,Antoine,F25-29,704,46/79,223/430,1:02:06,2:10:00,3:19:15,4:27:45,10:14
8409,Chris,Jacklin,M25-29,705,80/109,482/678,53:54:00,1:56:04,3:13:02,4:28:01,10:14
8639,Annika,Neerdaels,F18-24,706,54/88,224/430,54:41:00,1:57:45,3:14:27,4:28:08,10:15
8870,Monica,Stephans,F18-24,707,55/88,225/430,54:54:00,1:57:45,3:14:28,4:28:08,10:15
8501,David,Lake,M50-54,708,31/46,483/678,1:00:04,2:08:30,3:20:15,4:28:10,10:15
8417,Buddhika,Jayamaha,M45-49,709,40/58,484/678,58:40:00,2:02:48,3:19:41,4:28:11,10:15
45,Matt,Lochowitz,M25-29,710,81/109,485/678,1:02:21,-,3:19:30,4:28:14,10:15
31,Nicholas,Giffin,M35-39,711,75/107,486/678,1:02:00,2:09:41,3:19:18,4:28:14,10:15
8615,Surajit,Mohanty,M40-44,712,57/76,487/678,56:06:00,2:00:36,3:11:57,4:28:22,10:15
8059,Shaun,Barnes,M45-49,713,41/58,488/678,1:01:55,2:07:54,3:15:47,4:28:28,10:15
8966,Mim,Wendlandt,F45-49,714,18/35,226/430,56:43:00,2:03:21,3:16:21,4:28:36,10:16
8835,Tom,Siller,M60-64,715,14/25,489/678,54:51:00,1:55:14,3:08:09,4:28:39,10:16
11,James,Bubla,M40-44,716,58/76,490/678,58:24:00,2:05:30,3:18:38,4:28:39,10:16
9153,Justin,Theuner,M30-34,717,70/98,491/678,55:32:00,1:57:39,3:08:10,4:28:40,10:16
70,Daddie,Schwartz,M40-44,718,59/76,492/678,57:00:00,2:03:58,3:19:13,4:28:53,10:16
8366,Justin,Heimann,M35-39,719,76/107,493/678,56:38:00,1:58:47,3:10:09,4:28:55,10:16
8431,Allen,Jorn,M55-59,720,25/33,494/678,1:02:47,2:12:49,3:25:05,4:29:06,10:17
8175,John,Crees,M35-39,721,77/107,495/678,1:02:03,2:10:47,3:22:44,4:29:30,10:18
8708,Morgan,Pettit,F01-19,722,5/15,227/430,1:01:33,-,3:20:46,4:29:34,10:18
8938,Tyler,Vraney,M18-24,723,76/100,496/678,1:05:13,2:14:53,3:23:39,4:29:39,10:18
8890,Sam,Sutherland,M18-24,724,77/100,497/678,52:52:00,-,-,4:29:52,10:18
8133,Logan,Butson,M18-24,725,78/100,498/678,57:47:00,2:02:36,-,4:30:05,10:19
8700,Andrea,Pennati,M40-44,726,60/76,499/678,57:34:00,2:07:55,3:21:09,4:30:13,10:19
52,Meghan,Miller,F30-34,727,36/54,228/430,1:02:00,2:09:56,3:20:07,4:30:18,10:19
8965,Lisa,Wells,F50-54,728,9/26,229/430,57:02:00,2:03:44,3:17:36,4:30:51,10:21
8081,Erin,Biebuyck,F30-34,729,37/54,230/430,1:01:25,2:09:30,3:18:15,4:31:02,10:21
8753,Ron,Rietsema,M55-59,730,26/33,500/678,1:00:52,2:10:19,3:19:36,4:31:11,10:22
8142,Jonathan,Carleton,M35-39,731,78/107,501/678,53:57:00,1:53:21,3:01:05,4:31:27,10:22
8203,Agustin M.,Delgado Jimenez,M35-39,732,79/107,502/678,53:56:00,1:53:22,3:01:06,4:31:27,10:22
9034,Rhonda,Kempen,F40-44,733,22/45,231/430,54:09:00,-,3:15:56,4:31:46,10:23
9039,John,Mores,M55-59,734,27/33,503/678,54:50:00,1:56:40,3:11:25,4:31:51,10:23
8712,Sookyee,Pham,F35-39,735,34/69,232/430,59:03:00,-,3:19:58,4:32:06,10:24
8582,Rebecca,McDermott,F40-44,736,23/45,233/430,1:01:29,2:09:27,3:19:09,4:32:15,10:24
9091,Ken,Caviezel,M45-49,737,42/58,504/678,56:03:00,1:59:47,3:16:19,4:32:16,10:24
9171,Lindsey,Zellman,F35-39,738,35/69,234/430,1:02:20,-,3:25:18,4:32:17,10:24
9207,Adam,Bergeson,M30-34,739,71/98,505/678,1:00:55,2:08:31,3:18:37,4:32:23,10:24
8445,Kevin,Kells,M25-29,740,82/109,506/678,1:02:26,2:12:47,3:29:33,4:32:25,10:24
8794,Amy,Scherer,F25-29,741,47/79,235/430,1:02:05,2:10:27,3:22:54,4:32:39,10:25
9123,Jason,Krause,M40-44,742,61/76,507/678,1:04:41,2:15:53,3:28:10,4:32:40,10:25
8865,Josh,Stebbins,M30-34,743,72/98,508/678,53:45:00,1:55:59,3:14:41,4:32:51,10:25
9059,Laurie,Whorley,F40-44,744,24/45,236/430,1:09:03,2:22:39,3:33:10,4:33:30,10:27
8722,Jane,Pletsch,F25-29,745,48/79,237/430,59:18:00,2:04:41,3:17:00,4:33:31,10:27
8529,Danielle,Lettman,F30-34,746,38/54,238/430,1:03:42,2:11:45,3:24:50,4:33:35,10:27
8588,Kelly,McKnight,F25-29,747,49/79,239/430,56:25:00,2:08:02,3:23:14,4:33:41,10:27
8416,Yamilex,Jaramillo,F18-24,748,56/88,240/430,54:31:00,2:01:13,3:17:10,4:33:44,10:27
8181,John,Cunningham,M55-59,749,28/33,509/678,1:04:07,2:12:54,3:23:06,4:33:44,10:27
8590,James,McShane,M25-29,750,83/109,510/678,1:00:57,2:08:39,3:23:54,4:33:47,10:27
99,Stephanie,Dannenberg,F30-34,751,39/54,241/430,1:01:31,2:11:24,3:26:27,4:33:53,10:28
8936,Rachel,Von Bargen,F30-34,752,40/54,242/430,1:02:18,2:10:14,3:25:55,4:33:53,10:28
8862,Becky,Stallings,F35-39,753,36/69,243/430,51:09:00,1:53:39,3:15:05,4:34:04,10:28
8038,Mindy,Arnold,F35-39,754,37/69,244/430,56:36:00,2:03:51,3:16:41,4:34:04,10:28
8481,Logan,Kovacs,F18-24,755,57/88,245/430,55:25:00,1:58:46,3:11:54,4:34:05,10:28
