age	gender	firstHalf	final	halfPace	fullPace	secondHalf	secondHalfPace	BQ	diffPace	ID
36	M	01:14:58	02:34:40	343.358778625954	354.198473282443	01:19:42	365.038167938931	1	21.6793893129771	111
31	M	01:13:32	02:34:41	336.793893129771	354.236641221374	01:21:09	371.679389312977	1	34.8854961832061	112
24	M	01:15:26	02:34:42	345.496183206107	354.274809160305	01:19:16	363.053435114504	1	17.5572519083969	113
34	M	01:15:19	02:34:57	344.961832061069	354.847328244275	01:19:38	364.732824427481	1	19.7709923664122	114
36	W	01:15:38	02:34:58	346.412213740458	354.885496183206	01:19:20	363.358778625954	1	16.9465648854962	115
23	M	01:15:09	02:35:01	344.198473282443	355	01:19:52	365.801526717557	1	21.6030534351145	116
35	M	01:15:10	02:35:04	344.274809160305	355.114503816794	01:19:54	365.954198473282	1	21.6793893129771	117
34	M	01:14:00	02:35:05	338.931297709924	355.152671755725	01:21:05	371.374045801527	1	32.4427480916031	118
34	W	01:15:24	02:35:10	345.343511450382	355.343511450382	01:19:46	365.343511450382	1	20	119
38	M	01:12:39	02:35:10	332.748091603053	355.343511450382	01:22:31	377.93893129771	1	45.1908396946565	120
26	M	01:15:25	02:35:21	345.419847328244	355.763358778626	01:19:56	366.106870229008	1	20.6870229007634	121
41	M	01:17:40	02:35:27	355.725190839695	355.992366412214	01:17:47	356.259541984733	1	0.534351145038158	122
27	M	01:16:36	02:35:28	350.839694656489	356.030534351145	01:18:52	361.221374045802	1	10.381679389313	123
36	W	01:15:19	02:35:28	344.961832061069	356.030534351145	01:20:09	367.099236641221	1	22.1374045801527	124
35	M	01:15:12	02:35:30	344.427480916031	356.106870229008	01:20:18	367.786259541985	1	23.3587786259542	125
34	M	01:14:15	02:35:33	340.076335877863	356.221374045802	01:21:18	372.36641221374	1	32.2900763358779	126
24	M	01:15:14	02:35:35	344.580152671756	356.297709923664	01:20:21	368.015267175573	1	23.4351145038168	127
28	M	01:15:55	02:35:46	347.709923664122	356.717557251908	01:19:51	365.725190839695	1	18.0152671755725	128
28	M	01:15:25	02:35:55	345.419847328244	357.06106870229	01:20:30	368.702290076336	1	23.2824427480916	129
24	M	01:14:33	02:35:57	341.450381679389	357.137404580153	01:21:24	372.824427480916	1	31.3740458015267	130
34	M	01:16:03	02:36:04	348.320610687023	357.404580152672	01:20:01	366.488549618321	1	18.1679389312977	131
38	M	01:15:09	02:36:05	344.198473282443	357.442748091603	01:20:56	370.687022900763	1	26.4885496183206	132
31	M	01:17:28	02:36:08	354.809160305344	357.557251908397	01:18:40	360.30534351145	1	5.49618320610688	133
24	M	01:18:45	02:36:09	360.687022900763	357.595419847328	01:17:24	354.503816793893	1	-6.18320610687027	134
38	M	01:13:44	02:36:11	337.709923664122	357.671755725191	01:22:27	377.63358778626	1	39.9236641221374	135
34	M	01:17:16	02:36:16	353.893129770992	357.862595419847	01:19:00	361.832061068702	1	7.93893129770987	136
32	M	01:17:28	02:36:19	354.809160305344	357.977099236641	01:18:51	361.145038167939	1	6.3358778625954	137
29	M	01:16:53	02:36:33	352.137404580153	358.511450381679	01:19:40	364.885496183206	1	12.7480916030534	138
27	M	01:17:19	02:36:33	354.12213740458	358.511450381679	01:19:14	362.900763358779	1	8.7786259541985	139
28	M	01:16:59	02:36:35	352.595419847328	358.587786259542	01:19:36	364.580152671756	1	11.9847328244275	140
35	M	01:15:45	02:36:38	346.946564885496	358.702290076336	01:20:53	370.458015267176	1	23.5114503816794	141
30	M	01:16:33	02:36:42	350.610687022901	358.854961832061	01:20:09	367.099236641221	1	16.4885496183206	142
31	M	01:14:55	02:36:42	343.129770992366	358.854961832061	01:21:47	374.580152671756	1	31.4503816793893	143
29	M	01:18:40	02:36:42	360.30534351145	358.854961832061	01:18:02	357.404580152672	1	-2.90076335877865	144
33	M	01:16:46	02:36:43	351.603053435115	358.893129770992	01:19:57	366.18320610687	1	14.5801526717557	145
23	M	01:14:12	02:36:44	339.847328244275	358.931297709924	01:22:32	378.015267175573	1	38.1679389312977	146
37	M	01:16:23	02:36:45	349.847328244275	358.969465648855	01:20:22	368.091603053435	1	18.2442748091603	147
26	M	01:18:07	02:36:49	357.786259541985	359.12213740458	01:18:42	360.458015267176	1	2.67175572519085	148
24	M	01:18:47	02:36:50	360.839694656489	359.160305343511	01:18:03	357.480916030534	1	-3.35877862595419	149
38	M	01:10:04	02:36:50	320.916030534351	359.160305343511	01:26:46	397.404580152672	1	76.4885496183206	150
33	M	01:15:27	02:37:03	345.572519083969	359.656488549618	01:21:36	373.740458015267	1	28.1679389312977	151
41	M	01:18:19	02:37:05	358.702290076336	359.732824427481	01:18:46	360.763358778626	1	2.06106870229007	152
26	M	01:17:46	02:37:05	356.18320610687	359.732824427481	01:19:19	363.282442748092	1	7.09923664122141	153
26	M	01:17:20	02:37:20	354.198473282443	360.30534351145	01:20:00	366.412213740458	1	12.2137404580153	154
45	M	01:16:57	02:37:20	352.442748091603	360.30534351145	01:20:23	368.167938931298	1	15.7251908396947	155
30	M	01:16:27	02:37:23	350.152671755725	360.419847328244	01:20:56	370.687022900763	1	20.5343511450382	156
36	M	01:16:58	02:37:25	352.519083969466	360.496183206107	01:20:27	368.473282442748	1	15.9541984732824	157
33	M	01:13:59	02:37:32	338.854961832061	360.763358778626	01:23:33	382.671755725191	1	43.8167938931298	158
33	M	01:13:06	02:37:45	334.809160305344	361.259541984733	01:24:39	387.709923664122	1	52.9007633587786	159
35	M	01:17:31	02:37:53	355.038167938931	361.564885496183	01:20:22	368.091603053435	1	13.0534351145038	160
40	M	01:16:21	02:37:54	349.69465648855	361.603053435115	01:21:33	373.511450381679	1	23.8167938931298	161
37	M	01:10:10	02:37:56	321.374045801527	361.679389312977	01:27:46	401.984732824428	1	80.6106870229008	162
34	M	01:19:48	02:38:00	365.496183206107	361.832061068702	01:18:12	358.167938931298	1	-7.32824427480915	163
32	M	01:15:30	02:38:01	345.801526717557	361.870229007634	01:22:31	377.93893129771	1	32.1374045801527	164
35	M	01:19:03	02:38:02	362.06106870229	361.908396946565	01:18:59	361.75572519084	1	-0.30534351145036	165
38	M	01:17:28	02:38:12	354.809160305344	362.290076335878	01:20:44	369.770992366412	1	14.9618320610687	166
32	M	01:12:19	02:38:22	331.221374045802	362.671755725191	01:26:03	394.12213740458	1	62.9007633587786	167
40	M	01:17:41	02:38:29	355.801526717557	362.93893129771	01:20:48	370.076335877863	1	14.2748091603054	168
26	M	01:16:14	02:38:52	349.160305343511	363.81679389313	01:22:38	378.473282442748	1	29.3129770992366	169
31	M	01:17:42	02:38:54	355.87786259542	363.893129770992	01:21:12	371.908396946565	1	16.030534351145	170
22	M	01:19:04	02:38:55	362.137404580153	363.931297709924	01:19:51	365.725190839695	1	3.58778625954199	171
46	M	01:14:53	02:38:59	342.977099236641	364.083969465649	01:24:06	385.190839694657	1	42.2137404580153	172
26	M	01:13:30	02:39:04	336.641221374046	364.274809160305	01:25:34	391.908396946565	1	55.2671755725191	173
29	M	01:20:33	02:39:07	368.931297709924	364.389312977099	01:18:34	359.847328244275	1	-9.08396946564886	174
28	M	01:17:48	02:39:08	356.335877862595	364.427480916031	01:21:20	372.519083969466	1	16.1832061068702	175
32	M	01:17:30	02:39:12	354.961832061069	364.580152671756	01:21:42	374.198473282443	1	19.236641221374	176
31	W	01:17:08	02:39:15	353.282442748092	364.69465648855	01:22:07	376.106870229008	1	22.824427480916	177
33	M	01:16:54	02:39:19	352.213740458015	364.847328244275	01:22:25	377.480916030534	1	25.2671755725191	178
27	M	01:19:23	02:39:21	363.587786259542	364.923664122137	01:19:58	366.259541984733	1	2.67175572519085	179
22	M	01:17:25	02:39:29	354.580152671756	365.229007633588	01:22:04	375.87786259542	1	21.2977099236641	180
30	M	01:16:47	02:39:36	351.679389312977	365.496183206107	01:22:49	379.312977099237	1	27.6335877862596	181
37	M	01:15:40	02:39:44	346.564885496183	365.801526717557	01:24:04	385.038167938931	1	38.4732824427481	182
26	M	01:14:07	02:39:50	339.465648854962	366.030534351145	01:25:43	392.595419847328	1	53.1297709923664	183
40	M	01:18:24	02:39:51	359.083969465649	366.068702290076	01:21:27	373.053435114504	1	13.969465648855	184
44	M	01:16:59	02:39:52	352.595419847328	366.106870229008	01:22:53	379.618320610687	1	27.0229007633588	185
23	M	01:18:46	02:39:56	360.763358778626	366.259541984733	01:21:10	371.75572519084	1	10.9923664122138	186
40	M	01:17:58	02:39:59	357.099236641221	366.374045801527	01:22:01	375.648854961832	1	18.5496183206106	187
23	M	01:18:15	02:39:59	358.396946564886	366.374045801527	01:21:44	374.351145038168	1	15.9541984732824	188
40	M	01:19:28	02:40:01	363.969465648855	366.450381679389	01:20:33	368.931297709924	1	4.96183206106872	189
46	M	01:15:09	02:40:03	344.198473282443	366.526717557252	01:24:54	388.854961832061	1	44.6564885496183	190
32	M	01:17:44	02:40:04	356.030534351145	366.564885496183	01:22:20	377.099236641221	1	21.0687022900764	191
28	M	01:21:02	02:40:05	371.145038167939	366.603053435115	01:19:03	362.06106870229	1	-9.08396946564886	192
27	M	01:19:37	02:40:07	364.656488549618	366.679389312977	01:20:30	368.702290076336	1	4.04580152671758	193
40	M	01:19:01	02:40:09	361.908396946565	366.75572519084	01:21:08	371.603053435115	1	9.69465648854964	194
33	M	01:19:48	02:40:09	365.496183206107	366.75572519084	01:20:21	368.015267175573	1	2.51908396946567	195
40	M	01:17:47	02:40:11	356.259541984733	366.832061068702	01:22:24	377.404580152672	1	21.1450381679389	196
23	W	01:20:25	02:40:12	368.320610687023	366.870229007634	01:19:47	365.419847328244	1	-2.90076335877865	197
38	M	01:19:53	02:40:15	365.87786259542	366.984732824428	01:20:22	368.091603053435	1	2.21374045801525	198
35	M	01:18:50	02:40:26	361.068702290076	367.404580152672	01:21:36	373.740458015267	1	12.6717557251908	199
30	M	01:18:52	02:40:31	361.221374045802	367.595419847328	01:21:39	373.969465648855	1	12.7480916030534	200
33	M	01:18:35	02:40:32	359.923664122137	367.63358778626	01:21:57	375.343511450382	1	15.4198473282443	201
26	M	01:16:02	02:40:41	348.24427480916	367.977099236641	01:24:39	387.709923664122	1	39.4656488549618	202
